ts,Belkin Art Gallery,Brimacombe-QMI,CCM,CICSR,Forest Sci,Hebb,Koerner Library,Life Sci,Longhouse,MOA,Pacific Res - Sturgeon House,Pacific Res - Orca House,Parc Library,SPPH,UBC Tennis Centre (New),Allard Hall,Art Students Centre,Biomed,Bookstore-NCE,Brock South,Chem Centre,Coal & Mineral,EOS,Food & Beverage Innovation Centre,Michael Smith,Pharmacy,Pulp & Paper,Tall Wood,ULTL,AERL,Alumni Centre,AMS Nest,Bio Sci South,Bio Sci West,BRDF,Buchanan Tower,Chan Centre,CIRS,ESB,FNH,Iona,Orchard Commons,Ponderosa North,Doug Mitchell Thunderbird Sports Centre
2020-12-12T00:00:00Z Rel,"",691.2786254882812kW,329.91855398813874kW,153.3747512499491kW,417.4898681640625kW,41.79840850830078kW,113.84838207562763kW,1791.0250244140625kW,21.427325983842216kW,375.67796198527003kW,"","",68.57872772216797kW,103.39966503779095kW,85.10092163085938kW,"","",148.00686550140384kW,94.60093760490416kW,"",469.3838475545247kW,45.70675293604534kW,381.32659339904797kW,"",464.9134791692097kW,1889.37158203125kW,24.78522932529449kW,175.05738401412967kW,243.40329392751045kW,37.71932554244994kW,36.14870069424311kW,234.96643702189124kW,266.306436697642kW,473.70564015706384kW,106.82605743408203kW,41.27936120827993kW,92.88875579833984kW,78.5623792409897kW,414.94143517812086kW,102.44701107343037kW,109.9637680053711kW,523.4417937596639kW,340.1315431594848kW,291.86299928029376kW
2020-12-13T00:00:00Z Rel,"",705.20263671875kW,327.79924996693927kW,152.5741211573283kW,416.4527282714844kW,41.79840850830078kW,111.23146367073058kW,1794.51416015625kW,20.740986446539576kW,359.81296698252356kW,"","",49.71604537963867kW,105.12080844243366kW,85.21753692626953kW,"","",147.25587876637775kW,92.9896670182546kW,"",467.7329629262287kW,45.426600813865676kW,391.99903710683185kW,"",438.971108754476kW,1609.8560791015625kW,25.51835735638936kW,187.46826012929282kW,242.5317322413127kW,39.99563386042911kW,35.63310154279073kW,235.57537603378296kW,263.7103225390116kW,470.82741483052575kW,110.1784896850586kW,41.48193669319152kW,92.06007385253906kW,82.27250607808432kW,411.31822458902985kW,104.70420289039613kW,112.94184112548828kW,525.4144865671793kW,339.84466934204096kW,287.02000061670935kW
2020-12-14T00:00:00Z Rel,"",682.743896484375kW,347.0768957138062kW,198.6981312433877kW,497.97894287109375kW,41.79840850830078kW,152.97092779477435kW,2123.755615234375kW,26.205830117066693kW,347.02530066172284kW,"","",49.71604537963867kW,125.36859893798824kW,85.69963836669922kW,"","",171.09547567367545kW,102.96275456746413kW,"",439.59940560658777kW,53.026065667470306kW,396.51087284088135kW,"",523.333806037903kW,1668.13916015625kW,38.395086983839676kW,179.84992281595865kW,252.82100915908816kW,42.841098070144646kW,40.574487169583605kW,289.0495314598083kW,270.38379128774005kW,494.34666792551695kW,110.14741516113281kW,68.66467372576392kW,148.0910186767578kW,95.41510192553201kW,415.5265649159748kW,116.51009456316628kW,121.92607116699219kW,533.8905220031738kW,410.7856464385986kW,313.92377630869544kW
2020-12-15T00:00:00Z Rel,"",684.632080078125kW,360.4069194793702kW,204.84291489919028kW,503.37567138671875kW,41.79840850830078kW,151.79929018020624kW,2139.708984375kW,26.238235453764606kW,350.2730833689371kW,"","",49.71604537963867kW,123.53370491663621kW,85.50773620605469kW,"","",173.21860631306973kW,102.02480483055112kW,"",421.4681453704834kW,52.475638031959534kW,381.32000827789307kW,"",516.765946706136kW,1602.917724609375kW,36.84238851070403kW,177.13429768880212kW,260.75379610061646kW,40.68717467784884kW,39.91597100098929kW,283.84917179743456kW,287.4667986234028kW,488.72436014811194kW,110.76596069335938kW,70.32020747661592kW,147.52880859375kW,90.78244503339134kW,415.361286799113kW,115.74984375635783kW,122.72655487060547kW,532.4101851781209kW,396.48476823170984kW,290.39931583404535kW
2020-12-16T00:00:00Z Rel,"",721.3145141601562kW,340.4545666376752kW,210.60906664530444kW,494.4171142578125kW,41.79840850830078kW,153.3825031121572kW,2229.054443359375kW,25.987126310666397kW,338.1404832204181kW,"","",49.71604537963867kW,120.30833077430728kW,84.92068481445312kW,"","",174.10226504007977kW,104.55455231666569kW,"",384.3485916455586kW,48.80791536966958kW,373.52287642161036kW,"",523.7157796223962kW,1595.1015625kW,35.84519523382187kW,175.79545386632287kW,260.8616706530254kW,40.145017902056374kW,40.04362706343331kW,292.6684263547261kW,286.0993655522664kW,480.5308284759521kW,127.20443725585938kW,71.60769512255986kW,143.91783142089844kW,91.87899589538571kW,417.97309970855696kW,118.30540267626446kW,117.62934112548828kW,536.0444558461509kW,384.95780309041345kW,324.5046420097351kW
2020-12-17T00:00:00Z Rel,"",698.6653442382812kW,321.8396495183309kW,207.87661727269492kW,482.90399169921875kW,41.79840850830078kW,147.5534024238586kW,2119.87939453125kW,25.201890408992778kW,325.4798717498777kW,"","",49.71604537963867kW,122.19397560755412kW,85.43682861328125kW,"","",169.6301393508911kW,104.19377239545187kW,"",462.12247467041004kW,51.166747490564966kW,372.96233908335375kW,"",521.6460707982383kW,1732.2264404296875kW,37.26634993155799kW,163.89821561177578kW,265.99911419550574kW,42.757963657379136kW,40.61747948328654kW,288.13398631413764kW,287.9147551854453kW,493.7777729034423kW,113.8996353149414kW,72.60223599274956kW,149.82550048828125kW,87.42452685038253kW,410.0002609888712kW,115.99631754557294kW,124.21485900878906kW,467.656325340271kW,382.0966421763101kW,300.8723314603171kW
2020-12-18T00:00:00Z Rel,"",679.4228515625kW,342.17407884562436kW,207.6162434263583kW,511.962890625kW,39.45247359854205kW,144.2776084052192kW,2034.84765625kW,26.3375855921595kW,313.01655665892093kW,"","",49.71604537963867kW,120.90349275597823kW,85.08985137939453kW,"","",165.65952912807467kW,101.40536155003083kW,"",462.68472743776096kW,48.73429278532666kW,369.47856066103276kW,"",512.277410530514kW,1913.919189453125kW,36.65867929008272kW,179.80338693336208kW,283.6717926661174kW,39.95960141354137kW,40.77817578463647kW,280.5114811840765kW,292.24411927823655kW,495.8641815185547kW,119.22895812988281kW,72.48512554729429kW,138.13470458984375kW,89.08556261795546kW,419.2941589977122kW,112.45729857118053kW,120.49444580078125kW,442.097898795163kW,380.88788290482984kW,309.52748947938295kW
2020-12-19T00:00:00Z Rel,"",684.6129760742188kW,319.98421692918777kW,161.63257555414128kW,438.60675048828125kW,45.35498614604827kW,111.68118774140305kW,1870.1456298828125kW,20.314225960186253kW,307.2497590690187kW,"","",49.71604537963867kW,101.8878311744444kW,85.01812744140625kW,"","",150.1605164292122kW,92.7653641102931kW,"",448.3732903017819kW,37.39908607800801kW,340.5766805503987kW,"",463.0979037578007kW,1864.2076416015625kW,24.223280114884734kW,170.22957441224005kW,343.8695414861043kW,37.185207980032295kW,34.76690410788411kW,229.71134193102563kW,287.44590248602367kW,473.9137045542397kW,115.61762237548828kW,47.846566192640246kW,95.5354995727539kW,75.39850293565672kW,400.880333265729kW,106.28887763977046kW,97.09981536865234kW,418.63853116282667kW,317.6092610754795kW,313.5180011804015kW
2020-12-20T00:00:00Z Rel,"",711.5693359375kW,323.41833657176437kW,163.51167244169446kW,442.37860107421875kW,43.91339791196366kW,105.91978615213338kW,1800.475830078125kW,20.134526783073376kW,309.87620365778605kW,"","",49.71604537963867kW,101.97924446891854kW,84.74201965332031kW,"","",148.85388958383484kW,93.49442138345152kW,"",440.8565953710346kW,38.092088460922234kW,334.25331164642546kW,"",434.4951045968791kW,1908.55517578125kW,18.31881034386379kW,158.59155704824994kW,343.7563249270121kW,39.40622369503536kW,34.80009849296677kW,224.8547795440533kW,285.09557048532696kW,463.9197419484456kW,123.04756927490234kW,48.64008119386659kW,136.5363311767578kW,74.31847939177804kW,401.6275630548264kW,107.51424028396592kW,96.57032012939453kW,414.11539568724424kW,304.7433631335356kW,284.6709494430047kW
2020-12-21T00:00:00Z Rel,"",809.160400390625kW,333.2415808557581kW,200.79808464968636kW,492.4703063964844kW,50.023788927638996kW,153.87158668306128kW,2197.056884765625kW,28.848784888717866kW,299.6187946987152kW,"","",49.71604537963867kW,121.16479976609916kW,84.49534606933594kW,"","",173.7847169786913kW,108.18388105948777kW,"",445.8209311474698kW,38.89715588092803kW,407.7697038816528kW,"",514.9392109387014kW,2025.763916015625kW,31.43741892483497kW,176.10861428455053kW,340.5334151585896kW,43.515821102636856kW,43.94308913244147kW,251.48711959679954kW,296.1416120741106kW,493.7755556106567kW,142.17425537109375kW,66.95796943011119kW,149.6453399658203kW,97.10351852580355kW,417.5444204492924kW,116.48992285490014kW,122.18177032470703kW,425.450891554798kW,378.06130967528753kW,279.87092659791307kW
2020-12-22T00:00:00Z Rel,"",733.5086059570312kW,333.6829846700031kW,191.80727621961543kW,502.8138427734375kW,51.91497405279561kW,159.22837781756022kW,2219.722412109375kW,32.32729657976716kW,305.9757126456718kW,"","",49.71604537963867kW,122.04866794436073kW,85.2438735961914kW,"","",168.73809095797714kW,107.40247616379364kW,"",449.02090245211514kW,38.14352269967397kW,414.72626646924965kW,"",506.38857358120106kW,2036.9676513671875kW,36.78218999553607kW,172.51187150019197kW,343.48477188746136kW,38.268722445324634kW,39.23094503347517kW,244.01632800437764kW,297.98919837951684kW,493.9334052403768kW,137.6525421142578kW,67.6428349260489kW,121.08628845214844kW,92.81411199441658kW,417.6376152363531kW,118.33874573274875kW,123.14640045166016kW,427.8599094306096kW,370.77042888111555kW,264.0257325967153kW
2020-12-23T00:00:00Z Rel,"",733.8897094726562kW,322.71513919123856kW,188.60317064426576kW,490.7449035644531kW,50.53639610010165kW,154.85440432839923kW,2161.576416015625kW,34.300665967221654kW,313.854440353535kW,"","",49.71604537963867kW,121.38914699404326kW,82.20808410644531kW,"","",172.8941646217418kW,103.90849510016264kW,"",456.4170840072635kW,38.41491711139678kW,420.93477153036304kW,"",506.06235206921826kW,2091.50341796875kW,37.428420468127285kW,173.9871738741131kW,334.07419379552215kW,38.40362124685889kW,40.47319846716188kW,244.29241736129495kW,295.751321090239kW,486.7475414276124kW,125.4583969116211kW,67.98456737690498kW,142.71755981445312kW,94.27564616945047kW,416.3806745045273kW,120.38222219069807kW,124.54269409179688kW,410.0439537705321kW,369.6080033842724kW,264.0666699907513kW
2020-12-24T00:00:00Z Rel,"",717.581787109375kW,322.0370843470538kW,194.30064317985818kW,474.67376708984375kW,50.84381987083842kW,130.8708091429429kW,1999.861083984375kW,29.80342124080217kW,312.2774498845911kW,"","",49.71604537963867kW,120.09046785195663kW,8.036192893981934kW,"","",165.23492790663698kW,100.09169929107021kW,"",452.92209589534326kW,38.676500240961715kW,415.16781172681755kW,"",478.0172990696522kW,2038.6640625kW,34.114743054531225kW,173.525598115568kW,338.22327725092566kW,39.66764675094025kW,33.2687597942352kW,242.85849707373856kW,288.4210696266314kW,484.24759006500244kW,121.09529876708984kW,66.16004667891396kW,122.92180633544922kW,100.35176498099607kW,410.37365193155074kW,119.95230482339866kW,122.27035522460938kW,388.6017275647761kW,365.18193214628377kW,244.25172152589886kW
2020-12-25T00:00:00Z Rel,"",653.4877319335938kW,318.6336077250378kW,143.70166167338684kW,416.6653747558594kW,48.48820055698909kW,95.59547609814899kW,1865.4486083984375kW,18.32556505230843kW,304.6984074193461kW,"","",49.71604537963867kW,101.90689747536628kW,25.365705490112305kW,"","",151.85489270395698kW,91.3454419195211kW,"",441.59591490003805kW,36.97139183680216kW,344.53085566732614kW,"",446.86021720250426kW,1903.6044921875kW,23.354586508252016kW,167.73408827393143kW,326.3769203821818kW,36.41852543190673kW,29.607209351725054kW,187.33181684582325kW,281.99062322740207kW,473.05690765380865kW,117.60792541503906kW,39.279360138840154kW,67.97549438476562kW,78.16238048191434kW,397.33897685015637kW,109.025154153241kW,92.0337142944336kW,370.09572452121324kW,368.92135328010255kW,255.24069784235067kW
2020-12-26T00:00:00Z Rel,"",664.0630493164062kW,336.76658870767693kW,142.27619370469355kW,448.8492431640625kW,45.45139898470154kW,108.4031776703729kW,1900.273193359375kW,20.71504149955733kW,312.8814900357635kW,"","",49.71604537963867kW,104.61430533400286kW,25.578187942504883kW,"","",154.89914518718368kW,92.4282914089274kW,"",420.2089714859148kW,36.97938561439514kW,359.1400741563016kW,"",445.95124006094767kW,1586.2950439453125kW,24.439113150216922kW,162.3034611618078kW,336.5210170745849kW,38.41013453918478kW,29.71954518441802kW,184.85126307752424kW,279.5095710568956kW,462.239536603292kW,117.78004455566406kW,36.33617978639076kW,63.901031494140625kW,78.34385796842746kW,397.4162206762811kW,115.07145072654431kW,98.73109436035156kW,376.3770499300074kW,308.3272409972441kW,265.24237071266896kW
2020-12-27T00:00:00Z Rel,"",658.4990234375kW,343.347862323832kW,141.29132219870877kW,443.76007080078125kW,49.466170603942kW,108.1305487322806kW,1855.52294921875kW,20.115252212893065kW,302.50226795691015kW,"","",49.71604537963867kW,105.32193482858159kW,84.8150634765625kW,"","",156.19888798616557kW,94.16900231237766kW,"",419.550051453555kW,37.62112200260162kW,358.3065216551884kW,"",433.35578784024267kW,1588.51611328125kW,24.543846070457388kW,168.5289876577589kW,334.78425312042236kW,38.25849406946584kW,35.38720571866745kW,218.36653156209866kW,280.92624479594065kW,468.43945089976kW,113.5221939086914kW,51.59469529315274kW,65.3802490234375kW,78.37966466184022kW,400.26370719132586kW,115.62376872945725kW,101.19537353515625kW,393.5253939628607kW,310.2125718978602kW,264.97170293101544kW
2020-12-28T00:00:00Z Rel,"",665.6729736328125kW,349.2081907763306kW,145.80043532442144kW,444.1268310546875kW,49.393562675736526kW,109.9507940803633kW,1946.075927734375kW,17.441709245001814kW,305.25443364567263kW,"","",49.71604537963867kW,104.89409457321521kW,84.59808349609375kW,"","",159.23390262047428kW,97.57335204671922kW,"",429.10516168029187kW,37.156400561332696kW,361.2672328740578kW,"",463.6295833177921kW,1997.686279296875kW,26.000619363166663kW,169.95867132275174kW,340.6284502347311kW,39.019548945493156kW,39.32487588162775kW,198.49916278238624kW,281.538470931583kW,482.99742666880286kW,118.31382751464844kW,40.720804323267096kW,65.50164031982422kW,105.01999015031033kW,415.12918267038157kW,113.78682798288494kW,92.95197296142578kW,381.52931350566774kW,370.3944771176795kW,264.87791062496285kW
2020-12-29T00:00:00Z Rel,"",706.8810424804688kW,337.5518278595253kW,186.37641582930502kW,481.9599609375kW,46.81553866136955kW,109.55372072343468kW,1988.169189453125kW,20.93867848644654kW,303.40881751396074kW,"","",49.71604537963867kW,106.59615872718662kW,85.22345733642578kW,"","",165.12371600610228kW,95.48384542597664kW,"",437.12860820946895kW,37.22888545195262kW,391.7203573325827kW,"",476.1603418703432kW,1978.2432861328125kW,30.881235565653547kW,176.83505449224438kW,330.733979066213kW,39.49915387219854kW,37.581306670264kW,199.83250760784847kW,286.6973034565537kW,481.119516690572kW,120.22404479980469kW,41.56077346788508kW,68.65058898925781kW,97.83491335003477kW,419.0112641062559kW,114.89938264564232kW,101.16266632080078kW,404.96076877417374kW,374.27130989286616kW,254.28861534065646kW
2020-12-30T00:00:00Z Rel,"",685.7003173828125kW,355.54475516213364kW,196.0347226404262kW,448.58050537109375kW,53.730153971159915kW,111.36982800801594kW,2029.0977783203125kW,20.590501713245008kW,286.83045211827306kW,"","",49.71604537963867kW,109.11322909408125kW,84.64105224609375kW,"","",170.2638062543339kW,97.02309096354006kW,"",408.0203022147989kW,37.213917096455894kW,384.9391998322805kW,"",473.00516974873kW,2031.470703125kW,26.78810859214378kW,179.72892524648597kW,339.8380384445191kW,39.659065333384056kW,38.12913047307067kW,202.42265484244732kW,291.3283339307925kW,480.82093175252254kW,113.11454772949219kW,41.00898767687655kW,67.64659118652344kW,96.22130977423106kW,420.0521909392323kW,116.72122117069038kW,97.86468505859375kW,427.28339750395907kW,381.58190801267256kW,253.52124105382862kW
2020-12-31T00:00:00Z Rel,"",675.4181518554688kW,345.30018422444664kW,191.9112295922528kW,459.7127685546875kW,48.34279859057181kW,122.70819030099447kW,1902.5450439453125kW,20.164288867932765kW,305.311516883285kW,"","",49.71604537963867kW,106.93038334148909kW,25.612577438354492kW,"","",163.35536840721417kW,93.7499198487953kW,"",396.4977401125877kW,37.36246089140574kW,358.25700434402205kW,"",482.7812419382728kW,1970.587158203125kW,26.09101091557078kW,167.85032933323487kW,338.70683924357104kW,40.59850164422283kW,37.220254270169484kW,253.2089847695386kW,286.8843030525137kW,477.57346439361584kW,113.95532989501953kW,70.9259707453956kW,69.04889678955078kW,89.56184635034303kW,404.75719281443827kW,116.31409066491649kW,116.23548889160156kW,427.6158964524451kW,377.8995263131457kW,258.5191400467906kW
2021-01-01T00:00:00Z Rel,"",666.1773681640625kW,321.5842567758209kW,154.09268188158657kW,476.7828674316406kW,47.415224283315546kW,149.17240934831102kW,1799.433349609375kW,17.74557801228982kW,301.56029664004234kW,"","",49.71604537963867kW,104.75100918672705kW,25.326204299926758kW,"","",153.58165605712827kW,93.28218514257003kW,"",402.4427093919119kW,37.51042298475901kW,331.30586760485625kW,"",475.3919962625145kW,1874.9892578125kW,23.351451645206527kW,165.8465560199598kW,341.4780797958374kW,40.45129524782853kW,29.7308150089008kW,252.07962134290597kW,283.02767334408236kW,466.8181975682577kW,113.19435119628906kW,71.70672533565094kW,66.38943481445312kW,74.73569685834417kW,404.65828648991004kW,109.84993942296059kW,115.00154876708984kW,417.58271393775993kW,371.91851006437275kW,274.8270220315014kW
2021-01-02T00:00:00Z Rel,"",673.4408569335938kW,306.7091055100052kW,156.270155341625kW,428.37615966796875kW,47.654232673711256kW,141.16956949604878kW,1836.4041748046875kW,20.743267920679486kW,299.02952126096795kW,"","",49.71604537963867kW,106.12021361050778kW,84.5578384399414kW,"","",146.58385219618143kW,91.19455554626607kW,"",369.73501442520666kW,37.34890870253245kW,358.0002016576134kW,"",461.9143257815748kW,1860.98193359375kW,30.03250530227467kW,170.89256823963595kW,339.4385142326355kW,38.46409475900511kW,35.36926151297714kW,233.30130417205666kW,281.737907849418kW,463.9079647064208kW,111.18338775634766kW,48.471422159804256kW,113.67294311523438kW,73.96779244299292kW,417.61041245566514kW,115.38551242695905kW,100.20369720458984kW,416.54272346885097kW,304.22790981080806kW,279.3694995730011kW
2021-01-03T00:00:00Z Rel,"",674.0191040039062kW,309.1680934531601kW,156.1967410873481kW,440.1740417480469kW,46.585679418864025kW,126.35935017391489kW,1739.169677734375kW,20.38413295751365kW,288.9221407113255kW,"","",49.71604537963867kW,106.08439881624996kW,84.61032104492188kW,"","",150.37048615588085kW,90.22736865732394kW,"",390.90919995131344kW,37.50188378492991kW,370.4701496692941kW,"",432.7242137135402kW,1809.807373046875kW,30.652534275121162kW,171.00541158835102kW,337.3731897672018kW,38.42972458530355kW,35.92206371892386kW,225.1737924989065kW,281.42816565089754kW,476.51389726003003kW,98.13320922851562kW,49.12388571182881kW,108.3543930053711kW,74.30774589256006kW,397.2526140961824kW,115.89933209648841kW,102.89190673828125kW,465.99548023789004kW,298.1239525577754kW,263.3983705608935kW
